pose_id,tx,ty,tz,qx,qy,qz,qw
123,11.439200000,-9.959750000,3.886150000,0.004981080,0.039160900,0.031531400,0.998723000
124,11.584400000,-9.920800000,3.840740000,0.005148480,0.039902200,0.032629600,0.998657000
125,11.778000000,-9.865590000,3.807180000,0.005314890,0.040639100,0.033712300,0.998591000
126,11.992500000,-9.837850000,3.764110000,0.005480170,0.041370200,0.034784600,0.998523000
127,12.153400000,-9.785190000,3.748450000,0.005644990,0.042100100,0.035842700,0.998454000
128,12.324900000,-9.757390000,3.641390000,0.005806680,0.042811100,0.036891300,0.998385000
129,12.560300000,-9.672660000,3.607340000,0.005967330,0.043518200,0.037917800,0.998315000
130,12.860200000,-9.586130000,3.530340000,0.006125740,0.044213800,0.038920200,0.998245000
131,13.060600000,-9.560050000,3.439220000,0.006281530,0.044893900,0.039912800,0.998174000
132,13.315200000,-9.507400000,3.380770000,0.006435700,0.045565700,0.040889100,0.998103000
133,13.528800000,-9.506930000,3.298640000,0.006587630,0.046224100,0.041860200,0.998032000
134,13.702200000,-9.488890000,3.216610000,0.006737200,0.046868400,0.042823800,0.997960000
135,13.879100000,-9.480790000,3.124710000,0.006884100,0.047497000,0.043781600,0.997888000
136,14.101900000,-9.469240000,3.009270000,0.007027660,0.048105700,0.044731800,0.997815000
137,14.287200000,-9.447590000,2.952350000,0.007169640,0.048705500,0.045673500,0.997743000
138,14.460700000,-9.427710000,2.888220000,0.007309780,0.049294800,0.046607200,0.997669000
139,14.632300000,-9.415930000,2.791410000,0.007447050,0.049867300,0.047534600,0.997596000
140,14.917500000,-9.386120000,2.709870000,0.007582070,0.050427300,0.048449400,0.997523000
141,15.068300000,-9.380940000,2.749930000,0.007718660,0.050996900,0.049359600,0.997448000
142,15.265100000,-9.349950000,2.644860000,0.007852060,0.051548300,0.050259200,0.997374000
143,15.524500000,-9.357250000,2.500200000,0.007981150,0.052074700,0.051154100,0.997300000
144,15.745600000,-9.364800000,2.370080000,0.008106340,0.052578400,0.052045300,0.997227000
145,15.987400000,-9.380350000,2.225380000,0.008227160,0.053056900,0.052934000,0.997154000
146,16.307200000,-9.347620000,2.195590000,0.008347520,0.053533400,0.053808700,0.997080000
147,16.541800000,-9.354530000,2.142430000,0.008466530,0.054002300,0.054679300,0.997007000
148,16.815000000,-9.388310000,2.049350000,0.008582960,0.054456400,0.055550100,0.996933000
149,16.980700000,-9.392430000,1.991410000,0.008697740,0.054901200,0.056417900,0.996859000
150,17.170300000,-9.407280000,1.920750000,0.008810490,0.055334600,0.057284100,0.996784000
151,17.390400000,-9.417070000,1.827980000,0.008920480,0.055752500,0.058147100,0.996710000
152,17.522500000,-9.400480000,1.770510000,0.009028720,0.056160800,0.059003700,0.996636000
153,17.679600000,-9.365150000,1.691750000,0.009134490,0.056555700,0.059849800,0.996562000
154,17.812500000,-9.309480000,1.608680000,0.009237560,0.056935900,0.060681800,0.996489000
155,17.885900000,-9.246390000,1.548880000,0.009338610,0.057305300,0.061499600,0.996417000
156,17.947000000,-9.163050000,1.483120000,0.009437370,0.057662500,0.062299700,0.996346000
157,18.001100000,-9.056490000,1.413100000,0.009533650,0.058006600,0.063077700,0.996276000
158,18.032500000,-8.973010000,1.362300000,0.009628120,0.058341200,0.063838500,0.996207000
159,18.040100000,-8.855340000,1.294670000,0.009720080,0.058662500,0.064576000,0.996140000
160,18.029400000,-8.758840000,1.241960000,0.009810060,0.058973300,0.065294900,0.996074000
161,18.002800000,-8.622280000,1.162550000,0.009897010,0.059268300,0.065987600,0.996010000
162,17.970300000,-8.516050000,1.087850000,0.009981120,0.059548200,0.066660300,0.995947000
163,17.910900000,-8.350920000,0.973657000,0.010060900,0.059805100,0.067302000,0.995888000
164,17.850800000,-8.194460000,0.861950000,0.010136300,0.060039400,0.067914400,0.995831000
165,17.801000000,-8.077250000,0.765956000,0.010208100,0.060254300,0.068505100,0.995777000
166,17.755600000,-7.985990000,0.702257000,0.010277400,0.060456200,0.069078900,0.995725000
167,17.677200000,-7.854710000,0.628257000,0.010343700,0.060642700,0.069628800,0.995674000
168,17.582000000,-7.664530000,0.539902000,0.010406600,0.060810700,0.070143800,0.995627000
169,17.517400000,-7.501320000,0.456927000,0.010466100,0.060961600,0.070628200,0.995583000
170,17.436600000,-7.346780000,0.360402000,0.010521800,0.061092600,0.071084300,0.995542000
