id,tx,ty,tz,qx,qy,qz,qw
35,-0.165278912,3.607520103,-3.805678606,0.014557265,-0.252835274,-0.081344277,0.963977337
36,-0.088977598,3.456977367,-4.068764687,-0.016198635,-0.258601934,-0.080649227,0.962478697
37,0.150083661,3.659115314,-4.073223114,-0.012761339,-0.255244404,-0.116588496,0.959739804
38,0.195567980,3.868830919,-4.093695164,-0.002789219,-0.248741284,-0.128406778,0.960019529
39,0.294162393,3.888775587,-4.383052826,-0.015277358,-0.258013725,-0.127133384,0.957621276
40,0.495756775,3.639000654,-4.789159775,-0.053854089,-0.272501230,-0.128753752,0.951982558
41,0.858247757,3.835876226,-4.820370674,-0.040667597,-0.292185217,-0.147646248,0.944024026
42,1.099992037,3.997163773,-4.935235500,-0.041342050,-0.297330916,-0.168962196,0.938798368
43,0.766985953,4.395796299,-4.980881691,-0.027680356,-0.261897892,-0.168357581,0.949897170
44,0.406517446,4.515437603,-5.183624744,-0.027000675,-0.248416051,-0.140573710,0.958021998
45,-0.114534549,4.654237270,-5.291142464,-0.020020796,-0.233666822,-0.099982224,0.966958404
46,-0.402820051,3.942083597,-6.032533169,-0.094183274,-0.221065626,-0.073807389,0.967894852
47,-0.212275952,3.896390676,-6.315950871,-0.108506635,-0.224552706,-0.086746655,0.964512110
48,0.328892857,4.196391582,-6.382169724,-0.085728660,-0.251540750,-0.108844958,0.957881629
49,1.015952468,3.640015841,-6.953921795,-0.130714372,-0.291112602,-0.115340799,0.940675557
50,1.787370801,3.141009092,-7.181970596,-0.166910291,-0.328133732,-0.139597163,0.919232130
51,2.575930357,3.192423105,-7.128263950,-0.167754546,-0.345678627,-0.192197219,0.903012574
52,2.590843201,2.617301702,-7.554262161,-0.210243762,-0.350946158,-0.173268899,0.895889461
53,1.326907158,3.314896822,-7.736465454,-0.184907541,-0.272051722,-0.150773823,0.932239294
54,0.484805435,3.883003950,-7.676607609,-0.152295053,-0.242113873,-0.103319302,0.952638388
55,0.867878854,4.018189430,-7.791137218,-0.154589966,-0.251291126,-0.121951170,0.947675586
56,0.996455073,4.529928684,-7.694134235,-0.127436399,-0.267445147,-0.111900322,0.948534548
57,1.224507928,4.252332687,-7.945067883,-0.150676697,-0.272837847,-0.120625347,0.942503154
58,1.466828346,4.419813633,-7.976722240,-0.146326125,-0.276717275,-0.134431824,0.940186024
59,1.886414528,4.294839382,-8.265888214,-0.164887652,-0.276930213,-0.163531467,0.932408452
60,2.597718477,4.548310757,-8.164545059,-0.148599952,-0.320506841,-0.163632557,0.921099722
61,1.996040463,5.110453606,-8.089348793,-0.125293702,-0.289418519,-0.156575605,0.935963929
62,1.340894461,5.076929569,-8.364730835,-0.136565521,-0.269481480,-0.127904296,0.944657266
63,1.025126457,4.633162975,-8.801424026,-0.172553644,-0.252688020,-0.120564751,0.944375694
64,1.169665337,4.447243214,-9.022235870,-0.190175250,-0.257110476,-0.125231549,0.939176083
65,1.161741614,4.752618313,-9.091023445,-0.188427970,-0.235650748,-0.150936007,0.941376448
66,1.565752387,4.943193436,-9.106714249,-0.174394712,-0.272713900,-0.134898752,0.936495125
67,1.837895632,5.436461449,-8.896350861,-0.150593042,-0.289633542,-0.137092561,0.935225248
68,1.231112242,5.303927422,-9.152405739,-0.167841852,-0.257845730,-0.130199447,0.942549825
69,0.205306172,4.652382374,-9.731805801,-0.210820645,-0.223394886,-0.093073219,0.947097838
70,0.539056301,5.478622437,-9.551473618,-0.179062754,-0.230204940,-0.111430503,0.950017512
71,0.957872391,5.925476551,-9.472500801,-0.160219848,-0.245881453,-0.123652562,0.947940052
72,0.996927857,5.991417885,-9.613555908,-0.159778148,-0.254130512,-0.115969718,0.946808517
73,0.652075529,5.680898666,-9.996877670,-0.183007330,-0.240591660,-0.103731744,0.947560370
74,0.866249084,6.103936672,-9.925595284,-0.166665375,-0.250681698,-0.107065707,0.947590053
75,0.870052338,6.385257244,-9.968649864,-0.161423951,-0.246349394,-0.111174673,0.949158490
76,0.702680349,5.888531685,-10.492797852,-0.193036631,-0.239551932,-0.102199689,0.945998967
77,0.909399390,6.210635662,-10.475624084,-0.183433071,-0.242876768,-0.110346220,0.946147323
78,1.067358494,5.857356071,-10.784220695,-0.201665536,-0.250409156,-0.107453227,0.940791667
79,1.164015770,5.880075455,-10.924477577,-0.206651121,-0.249679387,-0.111126252,0.939475238
80,1.214871049,5.390308380,-11.263793945,-0.233137727,-0.245130226,-0.114844196,0.934010863
81,1.077540517,5.464323997,-11.367506981,-0.236990154,-0.227399990,-0.125296891,0.936179936
82,1.381179571,5.953148365,-11.260341644,-0.220191896,-0.233152360,-0.135497645,0.937445283
83,2.369742870,5.946143627,-11.222927094,-0.224475339,-0.241582856,-0.180613548,0.926625550
84,2.990244389,5.919904709,-11.211104393,-0.226530969,-0.250992060,-0.203821778,0.918776870
85,4.334296703,6.216392517,-10.727532387,-0.207508400,-0.274475366,-0.252769321,0.904278040
86,6.705691338,5.895695210,-9.749219894,-0.189525425,-0.299300551,-0.356444180,0.864554644
87,8.169278145,5.167161465,-9.095790863,-0.187147424,-0.319015592,-0.419752061,0.828867018
88,10.085823059,4.140131474,-7.722726345,-0.169736966,-0.358973116,-0.496151328,0.772119999
89,11.708794594,2.524065733,-6.141427517,-0.152050585,-0.383750319,-0.584849298,0.698265970
90,12.346573830,1.272237062,-5.370814800,-0.154458433,-0.401829123,-0.624760449,0.651428759
91,12.847599983,0.783923328,-4.359008312,-0.137416124,-0.426566988,-0.646107733,0.617827296
92,13.035159111,0.331366032,-3.969153404,-0.139523551,-0.439268917,-0.657683969,0.595849276
93,13.197242737,-0.016893035,-3.514369249,-0.131423756,-0.444136947,-0.674026489,0.575470626
94,13.231061935,0.747336388,-3.678644657,-0.109131888,-0.428279012,-0.674695015,0.591153264
95,13.208312988,0.418076664,-4.082840919,-0.123746648,-0.421542853,-0.683467507,0.582982481
96,13.148963928,0.490935594,-4.403913021,-0.139972940,-0.434311658,-0.668186426,0.587636232
97,13.163072586,0.559165120,-4.451480389,-0.147526845,-0.449834943,-0.656323373,0.587479830
98,13.201796532,0.334939867,-4.451278210,-0.164132521,-0.472681701,-0.644039989,0.578665793
99,13.083905220,0.997982979,-4.821925640,-0.153738141,-0.457351893,-0.641775310,0.596092939
100,13.028436661,1.292189956,-4.985527515,-0.154891431,-0.460205048,-0.633168757,0.602765322
101,12.885273933,1.942532420,-5.247255802,-0.143210217,-0.445563048,-0.632408261,0.617279172
102,12.711998940,2.287646532,-5.687505722,-0.144509733,-0.430000633,-0.633517265,0.626801908
103,12.715501785,2.258370876,-5.776556492,-0.148093224,-0.431494236,-0.634352028,0.624089122
104,12.735991478,2.597250700,-5.697558880,-0.140992716,-0.437563449,-0.630448222,0.625462472
105,12.826419830,2.581384182,-5.604787350,-0.138914317,-0.439180315,-0.636661708,0.618460953
106,13.605194092,2.831206322,-3.353015184,-0.078781903,-0.493607849,-0.643417776,0.579800487
107,13.403859138,2.530046940,-4.515459538,-0.111798070,-0.464981854,-0.652527928,0.587800622
108,13.169894218,2.440517187,-5.340299129,-0.133990213,-0.444846570,-0.655249834,0.595663846
109,12.990284920,2.790667534,-5.829976082,-0.142723382,-0.444270968,-0.643267632,0.607016921
110,12.827039719,2.957860231,-6.189825535,-0.153755516,-0.451793849,-0.628037572,0.614671111
111,12.831857681,2.786146164,-6.429478168,-0.169508755,-0.464407533,-0.620432496,0.608823895
112,12.710894585,2.979336739,-6.728491783,-0.171867415,-0.451992631,-0.624030650,0.613808632
113,12.629016876,3.548387051,-6.800970078,-0.162725553,-0.449547887,-0.619089186,0.623030007
114,12.912618637,3.628152609,-6.327585220,-0.149353102,-0.458633423,-0.627512217,0.611218274
115,12.858306885,3.610468864,-6.622046947,-0.157890230,-0.453173786,-0.630293250,0.610282600
116,12.696890831,3.620806456,-7.118217468,-0.175288588,-0.462198466,-0.614784539,0.614570141
117,12.770572662,3.507844687,-7.162456512,-0.181713372,-0.471620262,-0.611943781,0.608348906
118,12.915964127,3.274580717,-7.177457809,-0.186912909,-0.477120608,-0.615583658,0.598737657
119,13.077592850,3.825505733,-6.855343819,-0.165934697,-0.485322952,-0.614722610,0.599211693
120,13.135126114,3.754713058,-7.072357178,-0.171942711,-0.491304725,-0.612281561,0.595127523
121,13.244147301,3.643496752,-7.190759659,-0.177056074,-0.499247044,-0.610700011,0.588608265
122,13.201088905,3.531565666,-7.522083282,-0.189666107,-0.515507936,-0.593770266,0.587984264
123,13.116340637,3.216386795,-7.989514351,-0.208156914,-0.524082839,-0.582159817,0.585755527
124,13.154697418,2.807872057,-8.234684944,-0.223843306,-0.538907707,-0.570799291,0.577642262
125,13.078100204,2.852771521,-8.554319382,-0.229328036,-0.548971653,-0.556652188,0.579816580
126,13.068245888,2.864406586,-8.832795143,-0.231205314,-0.528427005,-0.576325595,0.578937113
127,13.743156433,2.220498085,-8.144638062,-0.231943026,-0.574102223,-0.562763453,0.547644973
128,12.471313477,2.839211941,-9.988824844,-0.257026076,-0.533157408,-0.545727491,0.593189836
129,12.021672249,3.952561140,-10.384181023,-0.238309830,-0.499476314,-0.559932768,0.616618335
130,11.593282700,4.857121468,-10.778073311,-0.226009741,-0.494238287,-0.548176169,0.635738075
131,12.004148483,4.468101501,-10.706242561,-0.230825216,-0.525803268,-0.534395337,0.620229959
132,11.709795952,4.525493145,-11.271604538,-0.240424544,-0.509698629,-0.539717317,0.625396609
