kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
36,115,12.858306885,3.610468864,-6.622046947,-0.157890230,-0.453173786,-0.630293250,0.610282600,
37,118,12.915964127,3.274580717,-7.177457809,-0.186912909,-0.477120608,-0.615583658,0.598737657,
38,119,13.077592850,3.825505733,-6.855343819,-0.165934697,-0.485322952,-0.614722610,0.599211693,
39,123,13.116340637,3.216386795,-7.989514351,-0.208156914,-0.524082839,-0.582159817,0.585755527,
40,126,13.068245888,2.864406586,-8.832795143,-0.231205314,-0.528427005,-0.576325595,0.578937113,
41,130,11.593282700,4.857121468,-10.778073311,-0.226009741,-0.494238287,-0.548176169,0.635738075,
42,134,11.266050339,4.261409760,-12.225577354,-0.264693767,-0.512576878,-0.520554662,0.629473448,
43,139,11.445743561,5.738697052,-12.466767311,-0.238856837,-0.508245111,-0.532098055,0.633656204,
44,144,10.896920204,6.099155903,-14.040932655,-0.262497276,-0.491126150,-0.530158579,0.639403522,
45,146,10.969887733,7.251262188,-14.093707085,-0.244403511,-0.474381387,-0.546528041,0.645407856,
46,149,10.925902367,7.178170204,-14.993279457,-0.258792400,-0.481085062,-0.536569774,0.643188298,
47,153,15.189155579,4.360464096,-13.070421219,-0.267588794,-0.486180544,-0.649275362,0.520079136,
48,157,19.988891602,-3.662610292,-3.859139681,-0.190687880,-0.517025828,-0.805755913,0.217014015,
49,161,17.452096939,-10.089180946,3.913538694,-0.112950146,-0.517056227,-0.847515583,-0.040365212,
50,164,15.215610504,-11.598429680,6.645185947,-0.097519830,-0.541291058,-0.823273778,-0.140462548,
51,165,15.204705238,-11.447192192,6.680415154,-0.100105472,-0.547773719,-0.818324208,-0.142423034,
52,168,15.271180153,-11.160841942,6.002399445,-0.102177322,-0.535363793,-0.826865375,-0.138762012,
53,173,16.068485260,-9.284125328,5.012346268,-0.108908117,-0.558634520,-0.815264702,-0.106889941,
54,176,15.635093689,-9.505723953,4.661323547,-0.112460382,-0.544452369,-0.821669996,-0.125685364,
55,182,16.132766724,-7.877303600,3.946506500,-0.108738735,-0.562293231,-0.813384950,-0.102096476,
56,184,16.237367630,-7.586812019,3.332510710,-0.114705876,-0.552818000,-0.819912791,-0.094832949,
57,187,16.231721878,-7.160281658,3.042110682,-0.113221630,-0.548550189,-0.823227882,-0.092661463,
58,189,16.282451630,-6.812148094,2.934573412,-0.113519765,-0.556097507,-0.818316817,-0.090790659,
59,192,15.661478043,-7.479358196,3.554134369,-0.109754644,-0.547038615,-0.819354832,-0.131819651,
60,195,16.007036209,-6.449831009,2.599461079,-0.117359810,-0.551211774,-0.818929315,-0.108460508,
61,196,15.949774742,-6.299604893,2.707787991,-0.114460148,-0.554000199,-0.816853166,-0.112919025,
62,198,16.094778061,-5.716639519,2.447826862,-0.111017942,-0.550995231,-0.820576966,-0.103679165,
63,199,16.021814346,-5.920294285,1.962618828,-0.125262439,-0.544850945,-0.822376668,-0.105648652,
64,203,16.090993881,-5.062672615,1.889764428,-0.114786550,-0.539277256,-0.827806830,-0.103721745,
65,207,16.165657043,-4.134531021,1.226109385,-0.120399155,-0.543123007,-0.825444698,-0.095818482,
66,211,16.023756027,-4.116385460,1.316079259,-0.122699611,-0.558774710,-0.811324477,-0.120364703,
67,215,15.019496918,-6.614327908,1.750424027,-0.153622910,-0.517445683,-0.814623356,-0.212270245,
68,216,14.787722588,-6.948962212,2.126062393,-0.150394425,-0.514452338,-0.811934531,-0.231306553,
69,217,14.536877632,-7.209252834,2.679588318,-0.142566472,-0.516889691,-0.805644989,-0.251906097,
70,221,8.618726730,-11.642848969,6.982199669,-0.078311689,-0.402312189,-0.761160195,-0.502661169,
71,224,3.346094131,-13.076650620,8.076889992,-0.047542404,-0.322918952,-0.688360870,-0.647800028,
72,227,-2.553256750,-13.076929092,7.540564537,-0.015624789,-0.216049582,-0.592437088,-0.775963306,
73,230,-2.050852537,-12.189326286,7.727147579,-0.013745550,-0.250758320,-0.586477637,-0.770062983,
74,236,0.204738691,-10.099467278,8.646835327,0.026757123,-0.346177191,-0.602940202,-0.718283176,
75,239,0.705472410,-9.356371880,8.660597801,0.039157022,-0.368667215,-0.605221033,-0.704473495,
76,243,0.583795369,-8.517371178,8.584234238,0.058817908,-0.382161289,-0.593378663,-0.705988586,
77,246,0.549030960,-8.210762978,8.087871552,0.060753066,-0.375351489,-0.597923219,-0.705643952,
78,250,1.230695963,-8.012609482,7.108545303,0.029584251,-0.387286484,-0.613180697,-0.687872171,
79,252,1.127830386,-7.789348602,6.914416313,0.039738383,-0.379806578,-0.615094960,-0.689819813,
80,255,0.462965578,-7.405693054,6.830430508,0.063266851,-0.354363889,-0.606290638,-0.709126115,
81,257,-0.307942361,-7.152249813,6.698454380,0.081118539,-0.327890486,-0.591803432,-0.731915474,
82,260,-0.113829724,-7.764158726,5.093966007,-0.008012639,-0.309750736,-0.603992701,-0.734307706,
83,261,0.152471215,-7.683545113,4.962499619,-0.008630106,-0.317661732,-0.611639857,-0.724525988,
84,263,0.220808953,-6.918050766,5.535170555,0.028878478,-0.356442750,-0.591218650,-0.722910404,
85,266,0.407612711,-5.885941029,5.881839275,0.087004937,-0.376189381,-0.589900374,-0.709193766,
86,268,0.546618938,-5.325012684,5.854734898,0.102822885,-0.401310533,-0.578760743,-0.702451944,
87,270,0.552530229,-4.937577724,5.601724148,0.109727383,-0.414182544,-0.569216490,-0.701733589,
88,273,0.293985873,-5.187137127,4.471488953,0.072314605,-0.374969602,-0.578415632,-0.720853269,
89,277,0.091786601,-4.540068626,4.249946117,0.099806190,-0.391805530,-0.549494088,-0.731169164,
90,279,0.146958515,-4.371853828,3.896832228,0.099130809,-0.384666771,-0.555658400,-0.730393171,
91,283,0.430322438,-4.166720390,3.168193817,0.091177300,-0.380125165,-0.576038659,-0.717911065,
92,286,0.468796790,-3.818226337,2.993004322,0.092531480,-0.405165762,-0.560375154,-0.716438532,
93,291,0.561602294,-3.236096859,1.907586813,0.055350807,-0.417071462,-0.558833599,-0.714645207,
94,294,0.722572625,-2.953296900,1.614527822,0.057044011,-0.427900970,-0.567426085,-0.701213539,
95,298,0.360934883,-2.733414650,0.981844604,0.011845659,-0.404161096,-0.515696645,-0.755378604,
96,300,-0.269166082,-2.524033546,0.910487652,0.036377840,-0.354799151,-0.429453075,-0.829692364,
97,303,-0.893947840,-2.153136969,0.526233494,0.078627497,-0.243398115,-0.332276464,-0.907851219,
98,306,-1.794949055,-1.210201383,-0.602775574,0.120087780,0.012863022,-0.059754658,-0.990892708,
99,310,-1.719170690,-0.344070941,-1.850766778,0.153437749,0.157559767,0.123455845,-0.967685938,
100,312,-1.674591303,-0.371578276,-2.271027088,0.197068259,0.166027382,0.099205971,-0.961136639,
101,316,-1.679785848,-0.259540498,-2.930715561,0.197871760,0.161368221,0.060731482,-0.964958966,
102,320,-1.596352577,-0.168490604,-3.548436165,0.253792763,0.174814090,0.074371323,-0.948433340,
103,322,-1.689575553,-0.400191635,-3.829537868,0.297942728,0.172160342,0.044221543,-0.937903106,
104,326,-1.886524200,-0.397967815,-4.591308594,0.332710594,0.159249917,0.074905656,-0.926479161,
105,330,-1.455749869,0.142397016,-5.465248108,0.291054457,0.197866455,0.090523392,-0.931651354,
106,335,-1.077221870,0.769330919,-6.313573837,0.256131500,0.210157692,0.104672581,-0.937713385,
107,337,-1.209607005,0.219195276,-6.756704330,0.289970130,0.213495642,0.053470943,-0.931402564,
108,340,-1.860705137,-0.001929455,-7.254673004,0.327083677,0.161665052,0.042112999,-0.930128634,
109,344,-2.356056929,-0.577552676,-7.967267513,0.367723674,0.135019764,0.004484738,-0.920087576,
110,346,-2.234767437,-0.285433859,-8.470525742,0.361368924,0.140964404,0.008420135,-0.921685159,
111,350,-1.533234358,0.168837547,-9.362927437,0.351240188,0.178538486,0.010927817,-0.919056594,
112,353,-1.705885887,0.736874104,-9.837872505,0.341445655,0.158822283,0.023434864,-0.926106095,
113,356,-1.834261775,0.827094078,-10.332716942,0.358176529,0.143012866,0.031386293,-0.922118664,
114,359,-2.113973379,2.206521034,-10.702235222,0.299663246,0.143032461,0.000798150,-0.943278790,
115,363,-2.366225004,1.485740900,-11.280214310,0.346337050,0.125881791,-0.003042481,-0.929638684,
116,367,0.540213764,1.809499145,-12.073234558,0.362213045,0.188818485,0.121293701,-0.904693246,
117,370,4.784234047,0.843008518,-11.528562546,0.374981433,0.289567709,0.287015855,-0.832583547,
118,374,9.972203255,-1.101728320,-7.979364872,0.325591177,0.440638959,0.489126205,-0.678686798,
119,377,11.287153244,-2.201267481,-5.903052807,0.304676831,0.505826592,0.544545949,-0.595663071,
120,381,11.504680634,-2.387248039,-5.743322372,0.314437926,0.532657444,0.542876661,-0.568086982,
121,385,11.255961418,-1.219428062,-6.951833248,0.299262553,0.501497805,0.549445033,-0.597566247,
122,388,10.398248672,-1.109932423,-8.535924911,0.346412778,0.491400033,0.499272645,-0.623927534,
123,392,9.754223824,0.981081307,-9.717946053,0.310116410,0.450348645,0.494110167,-0.675946712,
124,396,10.347024918,0.036242444,-9.488063812,0.329640359,0.470482290,0.519060612,-0.632925093,
125,400,10.400939941,0.557066321,-9.910786629,0.325687140,0.470737904,0.522600651,-0.631868005,
126,404,10.357838631,0.477879405,-10.330035210,0.339001477,0.479761899,0.513652086,-0.625382721,
127,408,10.423044205,1.874898195,-10.775751114,0.309049308,0.469369918,0.522112787,-0.641571879,
128,412,10.049818993,3.388557673,-11.530387878,0.286152810,0.454635918,0.516600311,-0.666769862,417
129,418,10.275582314,2.280139685,-12.748758316,0.325160027,0.499677747,0.482834131,-0.641482472,
130,424,8.659168243,3.515305519,-14.772471428,0.332674593,0.485938609,0.431443572,-0.683435619,
131,429,9.339218140,5.837090969,-14.360719681,0.283152491,0.468062222,0.475731105,-0.688809276,
132,433,9.353766441,4.937095642,-15.398858070,0.326132447,0.449621201,0.494466037,-0.668594062,
133,437,8.833667755,6.513453007,-15.698805809,0.305873930,0.428805232,0.492687732,-0.692720354,
134,441,16.128587723,1.105346799,-11.283536911,0.297003180,0.487634838,0.670925438,-0.473178267,
135,445,18.957620621,-5.259491920,-2.463977814,0.230211988,0.580681503,0.752122462,-0.210145593,
136,449,16.127798080,-9.596294403,5.713793755,0.112086743,0.571740150,0.812234879,0.029351873,
137,453,14.914765358,-10.488969803,6.448839664,0.143657431,0.603561580,0.779494047,0.086610235,
138,455,14.927457809,-10.335799217,6.222868443,0.143806696,0.601665556,0.781022906,0.085776776,428
139,460,15.217335701,-9.523696899,5.418313026,0.164747894,0.625828862,0.758657336,0.075304896,
140,468,15.881028175,-7.770350933,4.117744923,0.161290303,0.633067787,0.755699456,0.046516873,
141,470,16.134656906,-7.334586620,2.875926256,0.162104934,0.600563407,0.782613873,0.024404351,
142,474,14.555624008,-8.325460434,5.343229771,0.123139963,0.593017757,0.786497831,0.120921031,
143,476,14.462538719,-8.745055199,4.588059425,0.152912870,0.596279800,0.777962744,0.126003385,
144,479,14.481620789,-8.121776581,4.562665462,0.150773779,0.614057600,0.763249516,0.132988691,
145,483,14.649960518,-8.074488640,2.705162525,0.186056420,0.607188523,0.763396859,0.118180074,
146,491,15.850007057,-5.021063328,-0.058959402,0.194299862,0.629097879,0.752445638,0.018628553,
147,493,15.700735092,-5.231824398,-0.306014448,0.203574270,0.622147143,0.755461693,0.028370127,
148,496,15.574758530,-5.098751545,-0.840056539,0.204807371,0.570259035,0.794869125,0.032835919,
149,501,15.182577133,-6.244654179,-1.161583185,0.234197572,0.560434759,0.790549278,0.078314617,
150,503,13.204782486,-9.042225838,3.198807716,0.177869916,0.540275037,0.784604847,0.246773630,
151,507,4.291893005,-12.529894829,8.886890411,0.053000979,0.412003964,0.714909017,0.562481821,
152,510,-0.004693566,-12.384812355,9.350509644,0.022461781,0.363323927,0.645228446,0.671719849,
153,513,-0.113600120,-11.116157532,10.324028015,-0.017258791,0.390682817,0.624364555,0.676220417,
154,515,-0.974053741,-10.460368156,10.487381935,-0.062975995,0.370452583,0.616965592,0.691511869,
155,518,-0.889456868,-10.033315659,10.266788483,-0.065853328,0.377080649,0.612086773,0.691996872,
156,521,-0.808777392,-9.696617126,9.982574463,-0.059294119,0.385363072,0.606763840,0.692714334,
157,523,-0.785286546,-9.520578384,9.594408035,-0.048284099,0.387717992,0.604013085,0.694656670,
158,525,-0.037246257,-9.399171829,9.123276711,-0.035881810,0.402237833,0.615267694,0.677052259,
159,526,-0.409402668,-8.892014503,9.269748688,-0.054357968,0.406772375,0.601394594,0.685524046,
160,528,-0.274479747,-8.222202301,9.147458076,-0.062049046,0.423790753,0.592440128,0.682350874,
161,530,-0.031947676,-8.133244514,8.637249947,-0.045891106,0.427439243,0.596034765,0.678210557,
162,532,0.328813106,-7.714181423,8.458837509,-0.059362654,0.436503381,0.603707492,0.664467335,
163,535,0.238721624,-7.853929520,7.541014194,-0.035327617,0.422022790,0.609995127,0.669770718,
164,537,0.135277703,-7.260300159,7.673181057,-0.057251036,0.429027587,0.602392793,0.670685291,
